"","array_row","array_col","sizeFactor"
"19x9",19,9,1.10090967036918
"19x10",19,10,2.56889931632419
"19x11",19,11,1.786521932462
"19x12",19,12,1.7065998864955
"19x13",19,13,2.48154650162113
"19x14",19,14,2.20066344337935
"19x15",19,15,3.74543769961209
"19x16",19,16,0.971944550741414
"19x17",19,17,0.296405108491478
"19x18",19,18,0.456084072230341
"19x19",19,19,0.420416382294876
"19x20",19,20,0.506613299638916
"19x21",19,21,0.000990769164874021
"19x22",19,22,0.605855344320464
"19x23",19,23,0.418104587576837
"19x24",19,24,0.402582537327144
"19x25",19,25,0.202942550605029
"19x26",19,26,0.532208169731495
"19x27",19,27,0.121699479085359
"19x28",19,28,0.208061524623544
"20x5",20,5,0.151092297643288
"20x6",20,6,0.455588687647904
"20x7",20,7,1.37089426779735
"20x8",20,8,0.938753783718135
"20x9",20,9,1.4777322094096
"20x10",20,10,2.40955060897362
"20x11",20,11,0.874353788001323
"20x12",20,12,2.47593214302018
"20x13",20,13,3.12571158698339
"20x14",20,14,2.2214695958417
"20x15",20,15,2.58425623837974
"20x16",20,16,1.22525120056087
"20x17",20,17,0.404068691074455
"20x18",20,18,0.372529205992632
"20x19",20,19,0.492082018554097
"20x20",20,20,0.571013295355727
"20x21",20,21,0.440892278368939
"20x22",20,22,0.715995849815626
"20x23",20,23,0.830594816552721
"20x24",20,24,0.356842027548793
"20x25",20,25,0.359814335043415
"20x26",20,26,0.535015349031971
"20x27",20,27,0.331742542038651
"20x28",20,28,0.270479982010608
"21x6",21,6,0.953450192997099
"21x7",21,7,1.2546440191188
"21x8",21,8,0.969302499635084
"21x9",21,9,0.789643024404595
"21x10",21,10,1.29245837557816
"21x11",21,11,1.0583065962796
"21x12",21,12,1.53007784695378
"21x13",21,13,2.06294652946186
"21x14",21,14,1.2871742733655
"21x15",21,15,1.7503588579441
"21x16",21,16,0.555821501494326
"21x17",21,17,0.286497416842738
"21x18",21,18,0.255783572731643
"21x19",21,19,0.354695361024899
"21x20",21,20,0.271305622981336
"21x21",21,21,2.03520499284538
"21x22",21,22,1.19883068949757
"21x23",21,23,1.02990454688654
"21x24",21,24,0.547895348175333
"21x25",21,25,0.921745579721131
"21x26",21,26,0.826301483504933
"21x27",21,27,0.345613310346888
"21x28",21,28,0.27725023797058
"22x6",22,6,1.01751993232562
"22x7",22,7,1.00596095873542
"22x8",22,8,0.903581478365107
"22x9",22,9,1.58539579199258
"22x10",22,10,1.49424502882417
"22x11",22,11,1.0507106993489
"22x12",22,12,1.66581322254152
"22x13",22,13,0.885582505203229
"22x14",22,14,1.05748095530887
"22x15",22,15,0.759754821264228
"22x16",22,16,0.68495174931624
"22x17",22,17,0.399445101638376
"22x18",22,18,0.35353946366588
"22x19",22,19,0.715995849815626
"22x20",22,20,1.433973237961
"22x21",22,21,0.829273790999555
"22x22",22,22,1.29609119584936
"22x23",22,23,1.15672299999042
"22x24",22,24,0.320513824836746
"22x25",22,25,0.635908675654976
"22x26",22,26,0.812265587002551
"22x27",22,27,0.371703565021903
"23x7",23,7,1.03650967465237
"23x8",23,8,1.13509120655734
"23x9",23,9,0.942881988571776
"23x10",23,10,1.01586865038416
"23x11",23,11,1.47509015830327
"23x12",23,12,1.0677189033459
"23x13",23,13,0.688089185005007
"23x14",23,14,0.491256377583369
"23x15",23,15,0.67157636559044
"23x16",23,16,0.409848177869553
"23x17",23,17,0.622533291929176
"23x18",23,18,0.946349680648836
"23x19",23,19,1.16828197358062
"23x20",23,20,1.38955375373581
"23x21",23,21,1.74210244823682
"23x22",23,22,0.910351734325079
"23x23",23,23,0.830429688358575
"23x24",23,24,0.451295354600116
"23x25",23,25,0.105516916059083
"23x26",23,26,0.107498454388831
"24x8",24,8,0.628643035112566
"24x9",24,9,0.681153800850889
"24x10",24,10,0.722766105775598
"24x11",24,11,0.837365072512693
"24x12",24,12,1.64830963396208
"24x13",24,13,0.645816367303716
"24x14",24,14,0.39052817915451
"24x15",24,15,0.482009198711211
"24x16",24,16,0.506117915056479
"24x17",24,17,0.320018440254309
"24x18",24,18,0.507273812415499
"24x19",24,19,0.191218448820686
"24x20",24,20,0.820191740321544
"24x21",24,21,1.09050659413801
"24x22",24,22,0.877986608272528
"24x23",24,23,0.60370867779657
"24x24",24,24,0.386399974300868
"24x25",24,25,0.39052817915451
"25x9",25,9,0.115589735901969
"25x10",25,10,0.0987466600991107
"25x11",25,11,0.220115882796178
"25x12",25,12,0.284681006707135
"25x13",25,13,0.506778427833062
"25x14",25,14,0.271801007563773
"25x15",25,15,0.51255791462816
"25x16",25,16,0.196832807421639
"25x17",25,17,0.192539474373851
"25x18",25,18,0.496705607990176
"25x19",25,19,0.199639986722115
"25x20",25,20,0.709555850243945
"25x21",25,21,1.48615374731103
"25x22",25,22,1.07911274874195
"25x23",25,23,0.731683028259464
"25x24",25,24,0.772469692213445
"26x11",26,11,0.125167171162418
"26x12",26,12,0.693208159023523
"26x13",26,13,0.338347669804478
"26x14",26,14,0.212685114059623
"26x15",26,15,0.545913809845585
"26x16",26,16,0.354695361024899
"26x17",26,17,0.366254334615096
"26x18",26,18,0.528079964877853
"26x19",26,19,0.216648190719119
"26x20",26,20,0.532538426119786
"26x21",26,21,1.19618863839123
"26x22",26,22,0.862134301634544
"26x23",26,23,0.128469735045331
"27x14",27,14,0.151092297643288
"27x15",27,15,0.342641002852266
"27x17",27,17,0.233986651104415
"27x18",27,18,0.27609434061156
"27x19",27,19,0.30812921027582
"27x20",27,20,0.536336374585136
"27x21",27,21,0.688914825975736
"27x22",27,22,0.556151757882617
